Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.96,80.97,80.78,80.86,81.09,80.85,80.94,80.81,80.85,80.98
2,80.87,80.78,80.89,80.9,81.0,80.66,80.98,81.14,80.83,81.0
3,81.07,80.9,80.97,80.88,80.81,80.72,80.89,80.88,80.87,81.08
4,81.08,80.82,80.69,81.14,80.9,80.9,81.06,80.79,80.91,80.98
5,80.72,80.98,80.84,80.79,80.85,80.98,80.78,80.86,81.0,80.94
6,80.92,80.88,80.91,80.84,80.93,80.8,80.85,81.16,80.68,80.86
7,80.79,80.93,80.92,80.75,80.77,80.81,80.94,80.75,80.89,80.72
8,80.85,80.85,80.85,81.01,80.96,80.9,80.77,80.94,80.9,81.05
9,81.06,81.18,80.98,80.8,80.94,80.75,80.99,80.94,81.02,80.83
10,80.88,80.93,80.88,80.69,80.91,80.74,80.9,80.99,80.8,80.94
