Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.65,81.72,81.61,81.73,81.64,81.63,81.71,81.71,81.63,81.67
2,81.8,81.64,81.68,81.69,81.71,81.65,81.63,81.67,81.68,81.73
3,81.7,81.57,81.74,81.53,81.61,81.64,81.67,81.75,81.5,81.58
4,81.62,81.66,81.61,81.7,81.76,81.72,81.64,81.72,81.49,81.64
5,81.59,81.48,81.59,81.67,81.8,81.77,81.72,81.5,81.74,81.69
6,81.53,81.64,81.65,81.7,81.73,81.51,81.52,81.6,81.65,81.6
7,81.67,81.73,81.76,81.74,81.77,81.71,81.61,81.66,81.59,81.59
8,81.67,81.73,81.54,81.65,81.58,81.75,81.63,81.69,81.69,81.76
9,81.58,81.64,81.64,81.68,81.5,81.59,81.62,81.45,81.51,81.62
10,81.75,81.64,81.51,81.68,81.54,81.73,81.6,81.52,81.6,81.46
