Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.05,81.11,81.12,81.06,81.09,81.17,81.25,81.11,80.9,81.09
2,81.18,81.03,81.14,81.17,81.24,81.1,81.03,81.26,81.22,81.05
3,81.08,80.98,81.04,81.09,81.1,81.19,81.02,81.21,81.04,81.11
4,81.18,81.21,81.1,81.15,81.21,81.29,81.0,81.16,81.11,81.06
5,81.13,81.01,80.9,81.14,81.09,81.26,81.12,81.19,81.22,81.12
6,81.14,81.2,81.04,81.21,81.22,81.26,81.05,81.17,81.13,81.09
7,81.19,81.01,81.15,81.28,81.15,80.98,81.01,81.07,81.17,81.1
8,81.15,81.24,81.01,81.03,81.15,81.28,81.22,80.96,81.09,81.2
9,81.26,81.18,81.17,81.13,81.21,81.38,81.06,80.92,81.23,81.28
10,81.18,81.15,81.19,81.24,81.01,81.1,81.17,81.02,81.14,81.28
