Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,76.55,76.39,76.28,76.82,76.86,76.52,76.59,76.62,76.64,76.52
2,76.43,76.48,76.56,76.67,76.7,76.47,76.78,76.52,76.99,76.58
3,76.54,76.73,76.41,76.51,76.58,76.92,76.69,76.65,76.56,76.75
4,76.5,76.75,76.64,76.91,76.55,76.7,76.81,76.15,76.78,76.35
5,76.6,76.7,76.61,76.88,76.71,76.94,76.52,76.18,76.43,76.63
6,76.49,76.41,77.05,76.85,76.8,76.56,76.72,76.84,76.41,76.91
7,76.5,76.76,76.37,76.34,76.37,76.8,76.82,76.54,76.45,76.66
8,76.47,76.66,76.18,76.73,76.63,76.64,76.39,77.1,76.47,76.37
9,76.8,76.72,76.45,76.71,76.47,76.41,76.59,76.08,76.31,76.37
10,76.26,76.64,76.76,76.87,76.48,77.0,76.54,76.52,76.82,76.75
