Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.0,79.75,79.97,79.95,79.83,80.06,79.93,79.87,79.89,80.03
2,80.03,79.8,80.01,79.9,79.83,79.95,79.7,79.84,79.71,79.89
3,80.02,79.86,79.98,79.99,79.82,80.1,80.08,79.96,79.85,79.96
4,79.67,79.88,79.94,79.97,79.76,79.7,79.66,79.92,79.73,79.82
5,80.39,80.12,79.88,79.64,79.91,79.77,80.27,80.08,79.85,79.95
6,79.8,79.95,79.89,80.11,79.61,79.95,79.82,79.66,79.86,79.8
7,79.95,80.13,79.88,80.08,79.85,79.43,79.85,79.97,79.7,79.91
8,79.86,79.94,80.02,79.82,79.92,80.01,79.93,79.94,80.21,80.05
9,79.82,79.62,79.77,79.96,79.65,79.71,79.84,79.95,79.93,80.11
10,79.68,80.1,79.82,79.85,79.9,79.91,79.78,80.14,80.04,80.11
