Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.11,81.29,81.29,81.25,81.41,81.11,81.2,81.27,81.29,81.11
2,80.9,81.1,81.09,81.0,81.05,81.13,81.12,81.24,81.31,81.22
3,81.16,81.4,81.19,81.07,81.12,81.11,81.03,81.2,81.11,81.24
4,81.14,81.25,81.11,81.01,81.02,81.09,81.01,81.11,81.34,81.28
5,81.17,81.23,81.27,81.11,81.24,81.06,81.21,80.91,81.19,81.11
6,81.2,81.34,81.2,81.17,81.31,81.28,81.07,81.2,81.22,81.04
7,81.24,81.2,81.17,81.36,81.09,81.25,81.06,81.21,81.29,81.18
8,81.16,80.91,81.32,81.24,81.14,81.13,81.07,81.25,81.15,81.33
9,80.98,81.14,81.1,81.18,81.26,81.31,81.05,81.25,81.06,81.01
10,81.26,81.09,81.16,81.14,81.11,81.15,81.14,81.14,81.25,81.24
