Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.38,80.42,80.36,80.31,80.4,80.48,80.49,80.77,80.55,80.53
2,80.46,80.16,80.42,80.38,80.43,80.49,80.6,80.49,80.35,80.69
3,80.57,80.39,80.32,80.65,80.34,80.39,80.62,80.48,80.59,80.42
4,80.62,80.3,80.59,80.38,80.35,80.39,80.4,80.68,80.39,80.66
5,80.46,80.47,80.55,80.52,80.36,80.51,80.3,80.48,80.79,80.51
6,80.51,80.49,80.64,80.33,80.59,80.66,80.59,80.55,80.26,80.37
7,80.75,80.64,80.47,80.34,80.41,80.59,80.42,80.68,80.34,80.53
8,80.55,80.41,80.55,80.37,80.72,80.41,80.39,80.56,80.4,80.65
9,80.68,80.47,80.42,80.51,80.66,80.62,80.4,80.26,80.38,80.44
10,80.48,80.51,80.48,80.47,80.52,80.53,80.41,80.53,80.35,80.64
