Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.39,80.41,80.32,80.5,80.48,80.67,80.72,80.48,80.21,80.46
2,80.78,80.6,80.7,80.4,80.64,80.52,80.44,80.82,80.75,80.57
3,80.38,80.77,80.23,80.36,80.73,80.51,80.55,80.36,80.68,80.4
4,80.6,80.42,80.49,80.55,80.47,80.18,80.62,80.58,80.48,80.59
5,80.42,80.57,80.57,80.53,80.49,80.49,80.55,80.4,80.27,80.79
6,80.75,80.5,80.45,80.61,80.54,80.26,80.64,80.49,80.47,80.39
7,80.76,80.43,80.24,80.49,80.61,80.38,80.59,80.35,80.55,80.64
8,80.34,80.61,80.51,80.54,80.31,80.48,80.59,80.68,80.47,80.55
9,80.62,80.72,80.36,80.55,80.6,80.84,80.41,80.63,80.38,80.37
10,80.51,80.24,80.36,80.64,80.51,80.48,80.43,80.35,80.59,80.83
