Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.37,81.39,81.31,81.48,81.31,81.39,81.46,81.55,81.35,81.4
2,81.59,81.46,81.45,81.44,81.39,81.51,81.36,81.55,81.27,81.52
3,81.56,81.41,81.34,81.28,81.55,81.44,81.42,81.37,81.4,81.33
4,81.37,81.47,81.48,81.4,81.47,81.47,81.33,81.31,81.42,81.35
5,81.49,81.36,81.35,81.46,81.34,81.53,81.46,81.39,81.41,81.49
6,81.49,81.51,81.31,81.44,81.3,81.35,81.43,81.45,81.3,81.36
7,81.45,81.44,81.44,81.5,81.49,81.44,81.55,81.44,81.33,81.42
8,81.5,81.42,81.35,81.42,81.43,81.32,81.46,81.45,81.28,81.22
9,81.39,81.54,81.34,81.51,81.39,81.43,81.35,81.42,81.5,81.36
10,81.3,81.49,81.39,81.66,81.24,81.35,81.39,81.4,81.42,81.47
