Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,64.63,64.55,64.62,64.6,64.42,64.63,64.32,64.17,64.48,64.58
2,64.38,64.49,64.67,64.5,64.43,64.45,64.5,64.49,64.7,64.59
3,64.51,64.51,64.52,64.53,64.57,64.46,64.59,64.44,64.3,64.56
4,64.45,64.54,64.47,64.53,64.41,64.5,64.48,64.54,64.51,64.54
5,64.61,64.59,64.46,64.45,64.72,64.49,64.31,64.47,64.52,64.54
6,64.64,64.29,64.63,64.39,64.53,64.45,64.48,64.6,64.64,64.47
7,64.43,64.62,64.57,64.57,64.65,64.31,64.5,64.51,64.5,64.52
8,64.33,64.45,64.44,64.53,64.56,64.41,64.49,64.6,64.74,64.5
9,64.46,64.68,64.51,64.43,64.49,64.37,64.63,64.59,64.58,64.51
10,64.58,64.28,64.5,64.51,64.47,64.62,64.64,64.63,64.58,64.39
