Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.97,80.68,81.01,80.78,80.92,81.05,81.11,80.91,81.11,80.95
2,81.06,81.07,80.82,80.89,81.0,80.8,80.85,80.89,80.82,81.06
3,81.03,81.14,80.93,81.01,81.1,81.22,80.86,80.96,80.72,80.92
4,80.88,80.96,80.93,81.05,80.75,80.92,80.75,80.9,81.05,81.07
5,81.06,80.8,80.91,80.86,81.15,81.01,80.99,80.81,80.95,80.86
6,81.09,80.89,81.03,81.03,80.94,81.16,80.94,80.86,81.04,81.06
7,80.91,81.19,80.92,80.92,80.85,80.9,81.25,80.68,81.01,80.96
8,81.0,80.9,81.05,81.03,81.07,80.97,80.82,80.96,81.05,80.77
9,81.25,80.97,80.91,80.77,81.0,80.99,80.99,80.9,81.11,80.88
10,80.88,80.9,81.01,80.91,81.21,80.94,80.91,80.92,81.14,80.99
