Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.07,80.68,81.08,80.86,80.82,81.05,80.58,80.85,81.03,80.59
2,81.08,80.75,81.09,81.0,81.09,81.08,80.57,81.13,81.11,80.88
3,80.83,80.91,81.07,81.05,80.77,81.08,81.03,80.86,80.94,80.85
4,80.55,80.84,81.21,80.85,80.84,80.93,80.77,80.79,80.74,80.95
5,80.98,81.02,80.53,80.85,80.23,80.9,81.14,81.11,80.98,80.61
6,80.4,81.02,80.7,80.39,80.94,81.04,80.88,80.99,81.08,80.9
7,80.64,80.97,81.15,80.92,81.09,80.91,80.85,80.96,81.04,81.05
8,80.92,80.96,81.02,80.9,81.0,80.67,80.77,80.9,81.11,80.83
9,80.68,80.94,80.84,80.98,80.72,80.72,80.72,80.78,80.66,80.78
10,80.78,80.61,80.7,81.13,80.96,80.76,80.61,81.04,80.77,80.76
