Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.6,80.87,81.02,80.83,80.65,80.53,80.64,80.45,80.66,80.7
2,80.76,80.6,80.7,80.88,80.78,80.71,80.65,80.63,80.57,80.67
3,80.8,80.75,80.49,80.9,80.62,80.65,80.74,80.74,80.72,80.84
4,80.46,80.56,80.8,80.49,80.67,80.91,80.81,80.84,80.82,80.58
5,80.78,80.95,80.79,80.67,80.78,80.59,80.74,80.6,80.6,80.79
6,80.68,80.75,80.8,80.61,80.71,80.69,80.7,80.69,80.49,80.73
7,80.82,80.94,80.63,80.88,80.7,80.75,80.79,80.9,80.74,80.68
8,80.42,80.9,80.66,80.91,80.74,80.65,80.59,80.7,80.71,80.68
9,80.7,80.75,80.77,80.73,80.49,80.77,80.82,80.46,80.75,80.64
10,80.38,80.66,80.58,80.8,80.68,80.67,80.74,80.88,80.68,80.73
