Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,79.37,79.56,79.55,79.22,79.38,79.13,79.32,79.28,79.71,79.23
2,79.47,78.94,79.07,79.48,79.47,79.19,79.24,78.96,78.67,79.52
3,79.78,79.38,79.43,79.49,79.41,79.71,79.46,79.77,79.45,79.4
4,79.46,79.35,79.62,79.56,79.45,79.39,79.27,79.17,79.32,79.17
5,79.64,79.35,79.49,79.87,79.59,79.42,79.24,79.07,79.72,79.23
6,79.49,79.62,79.07,79.42,79.12,79.11,79.11,79.45,79.24,79.19
7,79.39,79.56,78.99,79.18,79.23,79.42,79.34,79.16,79.07,79.43
8,79.38,79.46,79.08,79.27,79.55,79.34,79.07,79.24,79.48,79.28
9,79.46,79.08,79.02,79.21,79.35,79.48,79.08,79.27,79.37,79.31
10,79.37,79.56,79.34,79.67,79.49,79.56,79.25,79.47,79.3,79.68
