Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.75,80.87,80.86,80.88,80.83,80.83,80.75,80.96,80.99,81.06
2,80.98,80.85,81.07,81.09,80.98,80.81,80.98,80.89,80.88,80.87
3,81.02,80.81,80.93,80.87,80.93,80.85,80.89,80.93,80.9,80.76
4,81.07,80.82,81.13,80.97,80.92,80.92,80.96,81.12,80.92,80.85
5,80.84,80.65,80.92,80.92,80.94,80.98,80.98,80.98,80.96,81.14
6,80.81,80.91,80.73,81.02,80.91,81.07,80.9,80.8,80.99,80.84
7,80.84,80.9,80.86,80.89,80.85,80.99,81.01,81.01,81.04,80.85
8,80.88,81.14,80.98,81.09,80.85,80.96,80.94,80.85,80.87,80.81
9,81.0,80.92,81.04,80.74,80.82,80.9,81.2,80.86,80.84,80.76
10,80.87,81.0,81.03,80.86,80.95,80.78,80.96,80.92,80.77,80.82
