Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.73,80.64,80.62,80.69,80.74,80.71,80.89,80.69,80.63,80.64
2,80.77,80.71,80.7,80.56,80.59,80.72,80.8,80.72,80.55,80.6
3,80.66,80.75,80.5,80.72,80.56,80.62,80.69,80.78,80.8,80.6
4,80.78,80.34,80.88,80.62,80.64,80.7,80.68,80.53,80.81,80.63
5,80.57,80.55,80.64,80.57,80.47,80.7,80.58,80.73,80.65,80.65
6,80.82,80.66,80.67,80.55,80.48,80.7,80.55,80.55,80.51,80.71
7,80.63,80.61,80.77,80.61,80.83,80.7,80.57,80.7,80.64,80.54
8,80.62,80.77,80.71,80.7,80.75,80.55,80.76,80.81,80.41,80.67
9,80.6,80.74,80.63,80.68,80.8,80.84,80.54,80.57,80.68,80.64
10,80.62,80.72,80.72,80.72,80.54,80.81,80.7,80.74,80.66,80.68
