Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.36,80.9,80.57,80.78,80.66,80.62,80.38,80.49,80.92,80.44
2,80.58,80.72,80.27,80.19,80.72,80.68,80.53,80.8,80.77,80.7
3,80.51,80.73,80.77,80.29,80.59,80.58,80.59,80.85,80.85,80.42
4,80.31,80.85,80.79,80.51,80.68,80.51,80.21,80.32,80.59,81.0
5,80.24,80.52,80.67,80.55,80.86,80.62,80.32,80.47,80.41,80.52
6,80.7,80.82,80.95,80.32,80.55,80.84,80.55,80.58,80.36,80.69
7,80.83,80.87,80.86,80.53,80.64,80.94,80.64,80.7,80.81,80.68
8,80.65,80.7,80.92,80.57,80.72,80.6,80.98,80.31,80.81,80.4
9,80.15,80.32,80.75,80.66,80.79,80.65,80.5,80.39,80.62,80.35
10,80.47,80.49,80.73,80.47,80.61,80.69,80.89,80.7,80.63,80.94
