Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,76.28,76.47,76.08,76.54,76.23,76.7,76.19,76.92,76.51,77.04
2,76.95,76.74,76.63,76.3,76.31,76.62,76.74,76.34,76.16,76.74
3,76.08,76.3,76.66,76.61,76.6,76.41,76.4,76.51,76.08,76.52
4,76.61,76.45,76.93,76.85,76.56,76.57,76.47,76.08,76.56,76.56
5,76.08,76.59,76.08,77.14,76.62,76.78,76.15,76.33,76.87,76.62
6,76.22,76.46,76.08,76.97,76.74,76.76,76.91,76.35,76.58,76.69
7,76.42,76.08,76.23,76.44,76.7,76.33,76.19,76.14,76.83,76.48
8,76.38,76.39,76.08,76.61,76.25,76.29,76.08,76.47,76.24,76.3
9,76.77,76.65,76.79,76.55,76.75,76.08,76.49,76.56,76.36,76.28
10,76.99,76.09,76.67,76.71,76.56,76.78,76.24,76.49,76.24,76.8
