Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,78.92,78.98,78.58,78.83,78.82,78.36,79.11,78.7,78.89,78.4
2,78.75,78.38,78.84,78.49,78.71,78.93,78.57,79.0,78.61,78.77
3,78.82,78.85,78.8,78.74,78.52,78.87,78.58,78.73,78.69,78.87
4,78.76,78.72,78.77,79.2,78.73,78.84,78.89,78.6,78.61,79.0
5,78.67,78.8,78.88,78.85,78.76,79.0,78.75,78.48,78.77,78.93
6,78.99,78.94,78.46,78.96,78.93,78.63,78.93,78.57,78.76,78.73
7,78.78,78.87,78.76,78.74,78.84,78.67,78.88,78.63,78.59,78.58
8,78.48,78.97,78.67,78.58,78.63,79.0,79.04,78.55,78.64,78.75
9,78.63,78.87,78.87,78.87,78.39,78.67,79.09,78.83,78.41,78.76
10,78.35,78.59,78.59,79.13,78.82,78.53,78.61,78.58,78.44,78.93
