Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.46,80.51,80.69,80.66,80.52,80.62,80.63,80.77,80.76,80.7
2,80.7,80.56,80.66,80.72,80.76,80.53,80.49,80.97,80.76,80.72
3,80.82,80.64,80.78,80.68,80.75,80.77,80.78,80.58,80.58,80.55
4,80.62,80.47,80.65,80.51,80.64,80.51,80.57,80.66,80.55,80.6
5,80.47,80.56,80.47,80.45,80.42,80.53,80.74,80.59,80.82,80.57
6,80.62,80.63,80.77,80.69,80.77,80.65,80.75,80.71,80.83,80.8
7,80.64,80.65,80.49,80.67,80.68,80.6,80.85,80.66,80.59,80.53
8,80.88,80.7,80.63,80.73,80.89,80.61,80.92,80.59,80.61,80.75
9,80.51,80.48,80.6,80.75,80.54,80.64,80.7,80.67,80.55,80.53
10,80.72,80.77,80.79,80.66,80.51,80.55,80.75,80.53,80.74,80.57
