Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.5,81.47,81.54,81.52,81.54,81.62,81.43,81.46,81.56,81.67
2,81.57,81.64,81.47,81.56,81.54,81.55,81.57,81.42,81.6,81.51
3,81.6,81.47,81.61,81.62,81.65,81.61,81.67,81.46,81.59,81.45
4,81.38,81.59,81.54,81.53,81.62,81.57,81.46,81.49,81.68,81.55
5,81.43,81.63,81.43,81.46,81.41,81.55,81.56,81.64,81.6,81.55
6,81.42,81.5,81.55,81.54,81.52,81.49,81.52,81.7,81.48,81.57
7,81.48,81.57,81.53,81.44,81.48,81.42,81.4,81.6,81.62,81.54
8,81.49,81.68,81.49,81.5,81.45,81.39,81.66,81.71,81.57,81.44
9,81.56,81.5,81.48,81.46,81.51,81.66,81.43,81.45,81.51,81.55
10,81.57,81.54,81.51,81.39,81.74,81.66,81.51,81.5,81.45,81.46
