Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,79.13,79.04,78.86,79.17,78.96,78.78,79.3,79.05,78.92,79.25
2,79.02,78.97,78.97,78.81,79.2,79.04,79.03,78.75,79.24,79.08
3,79.1,79.31,78.79,79.18,78.98,79.21,79.05,79.44,78.84,79.28
4,79.15,79.16,79.08,79.39,79.1,78.93,79.04,79.13,79.11,78.79
5,78.88,79.23,79.11,79.09,79.26,79.02,78.66,78.89,79.28,79.04
6,79.03,79.01,79.08,78.68,78.73,79.08,79.24,79.15,78.83,78.93
7,79.01,78.91,78.89,78.84,78.99,79.3,78.9,78.98,79.12,79.06
8,79.05,79.16,78.85,78.64,78.93,79.24,79.07,78.81,79.25,78.98
9,79.22,78.98,79.13,78.87,78.9,79.24,79.19,79.3,78.98,79.11
10,78.87,79.02,79.09,79.39,78.99,78.85,78.89,78.93,79.08,79.0
