Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,76.71,76.22,76.08,77.03,76.08,76.08,76.29,76.39,76.25,76.33
2,76.1,76.36,76.27,76.08,76.19,76.08,76.3,76.37,76.11,76.38
3,76.29,76.5,76.34,76.08,76.46,76.08,76.49,76.08,76.39,76.35
4,76.09,76.19,76.34,76.26,76.51,76.08,76.32,76.08,76.3,76.6
5,76.08,76.17,76.08,76.25,76.58,76.16,76.39,76.12,76.25,76.58
6,76.08,76.21,76.42,76.16,76.28,76.17,76.24,76.08,76.12,76.1
7,76.43,76.08,76.08,76.34,76.17,76.72,76.32,76.08,76.23,76.25
8,76.08,76.69,76.24,76.08,76.08,76.28,76.6,76.41,76.44,76.08
9,76.39,76.08,76.13,76.19,76.75,76.08,76.35,76.36,76.21,76.42
10,76.26,76.18,76.48,76.17,76.28,76.65,76.59,76.09,76.19,76.74
