Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.51,80.65,80.73,80.64,80.68,80.51,80.49,80.62,80.67,80.44
2,80.61,80.54,80.59,80.75,80.48,80.41,80.77,80.78,80.63,80.38
3,80.49,80.55,80.53,80.75,80.64,80.5,80.58,80.61,80.59,80.69
4,80.51,80.44,80.6,80.61,80.38,80.61,80.8,80.51,80.69,80.54
5,80.73,80.53,80.49,80.78,80.59,80.53,80.6,80.64,80.55,80.47
6,80.72,80.77,80.58,80.23,80.49,80.64,80.88,80.48,80.43,80.63
7,80.64,80.49,80.45,80.59,80.6,80.77,80.67,80.56,80.41,80.66
8,80.51,80.63,80.84,80.73,80.62,80.59,80.57,80.6,80.55,80.64
9,80.68,80.47,80.43,80.49,80.62,80.48,80.48,80.57,80.53,80.53
10,80.57,80.62,80.45,80.57,80.52,80.64,80.54,80.66,80.57,80.58
