Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,66.93,66.76,66.88,66.78,66.93,67.12,66.96,66.86,66.91,67.07
2,66.99,66.88,66.93,67.0,66.98,67.01,67.03,66.84,66.93,66.88
3,66.93,67.09,66.97,66.99,66.85,66.82,66.94,66.89,66.87,66.86
4,66.98,66.93,66.86,66.98,66.98,67.04,66.95,67.02,66.9,66.98
5,66.99,67.04,66.96,67.01,66.96,66.81,66.97,66.95,66.85,66.91
6,66.86,66.99,66.9,66.94,66.97,66.94,67.02,66.82,66.92,66.99
7,66.92,66.83,66.85,66.92,67.03,66.91,66.95,66.96,66.9,66.89
8,66.89,66.79,66.86,66.89,66.89,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
