Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.74,81.69,81.82,81.8,81.81,81.87,81.86,81.87,81.74,81.81
2,81.83,81.68,81.78,81.9,81.78,81.88,81.82,81.79,81.72,81.74
3,81.84,81.75,81.61,81.72,81.7,81.78,81.75,81.75,81.74,81.74
4,81.73,81.67,81.74,81.76,81.7,81.85,81.8,81.72,81.72,81.72
5,81.64,81.68,81.8,81.83,81.77,81.84,81.78,81.85,81.88,81.72
6,81.69,81.89,81.75,81.72,81.74,81.74,81.86,81.66,81.78,81.69
7,81.76,81.54,81.71,81.71,81.85,81.82,81.87,81.88,81.83,81.7
8,81.76,81.76,81.82,81.87,81.73,81.59,81.83,81.79,81.87,81.58
9,81.74,81.8,81.85,81.77,81.87,81.84,81.78,81.71,81.75,81.74
10,81.93,81.85,81.69,81.95,81.69,81.74,81.85,81.84,81.82,81.76
