Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.07,80.21,80.03,80.13,79.96,80.33,80.07,80.18,80.26,80.05
2,79.79,80.34,80.29,80.04,80.09,80.25,80.19,80.13,80.12,80.28
3,80.36,79.97,80.24,80.16,80.01,80.23,80.22,80.28,80.23,80.17
4,80.11,80.16,80.09,80.13,80.0,80.03,80.28,80.42,80.32,79.84
5,80.21,80.23,80.39,80.17,80.22,80.08,80.18,80.18,80.17,80.21
6,80.19,80.16,80.06,80.36,80.08,80.16,80.13,80.03,80.17,80.21
7,80.09,79.98,79.94,80.19,80.06,80.1,80.13,79.89,80.38,80.19
8,80.25,80.07,80.14,80.26,79.87,80.35,80.2,80.24,80.26,80.19
9,80.03,80.19,80.39,80.21,80.29,80.11,80.34,80.19,80.15,80.19
10,80.35,79.99,80.19,80.42,80.16,80.03,80.27,79.88,80.0,80.1
