Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,81.91,81.94,81.78,81.84,81.83,81.91,81.76,81.84,81.8,81.89
2,81.99,81.75,81.88,81.86,81.79,81.87,81.79,81.74,81.94,81.85
3,81.86,81.87,81.88,81.89,81.84,81.94,81.92,81.86,81.8,81.86
4,81.91,81.78,81.85,81.79,81.82,81.8,81.9,81.76,81.86,81.84
5,81.91,81.88,81.92,81.76,81.82,81.91,81.82,81.87,81.82,81.87
6,81.95,81.87,81.93,82.04,81.84,81.96,81.89,81.85,81.77,81.83
7,81.81,81.75,81.87,81.87,81.9,81.9,81.85,81.91,81.79,81.84
8,81.96,81.78,81.82,81.96,81.8,81.81,81.85,81.88,81.83,81.82
9,81.8,81.93,81.91,81.76,81.84,81.83,81.83,81.84,81.91,81.84
10,81.81,81.87,81.94,81.9,81.79,81.87,81.89,81.75,81.86,81.77
