Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,80.25,80.1,80.15,80.27,80.05,80.69,80.19,80.44,80.01,80.14
2,80.6,80.34,80.3,80.25,80.37,80.22,80.3,80.26,80.52,80.13
3,80.16,80.61,80.27,80.31,80.25,79.99,80.23,80.45,80.4,80.44
4,80.53,80.35,80.48,80.0,80.27,80.31,80.02,80.23,80.19,80.41
5,80.24,80.03,80.34,80.17,80.22,80.47,80.58,80.08,80.19,80.49
6,80.19,80.27,80.04,80.23,80.19,80.0,80.31,80.44,80.29,80.21
7,80.06,80.44,80.58,80.32,80.24,80.21,80.16,80.24,80.33,80.18
8,80.1,80.38,80.35,80.24,80.32,80.3,80.23,80.27,80.22,80.37
9,80.44,80.38,80.52,80.14,80.3,80.19,80.52,80.35,80.46,80.31
10,80.44,80.22,80.33,80.03,80.55,80.21,80.06,80.33,80.23,80.26
