Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,77.9,77.65,77.7,77.91,77.72,77.71,77.65,77.87,77.63,78.0
2,77.72,77.51,77.58,77.53,77.6,77.6,78.14,77.81,77.62,77.52
3,77.64,77.87,77.78,77.36,77.42,77.34,77.73,77.64,77.7,77.57
4,77.92,77.86,77.58,77.66,77.7,77.81,77.44,77.51,77.93,77.98
5,77.77,77.6,77.79,77.74,77.94,77.5,77.73,77.38,77.69,78.01
6,77.86,77.81,77.98,77.87,77.4,78.24,77.73,77.85,78.03,77.49
7,77.74,77.92,77.56,77.92,77.71,77.36,77.49,77.73,77.98,77.51
8,77.31,77.35,77.51,77.12,78.11,77.37,77.71,77.56,77.94,77.7
9,77.62,77.81,77.93,77.37,77.61,77.81,77.93,77.81,77.6,77.61
10,77.66,78.01,77.7,77.89,77.38,78.01,77.52,77.53,77.47,77.95
