Run Time / SSI Loop,1,2,3,4,5,6,7,8,9,10
1,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08
2,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08
3,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08
4,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08
5,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08
6,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08
7,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08
8,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08
9,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08
10,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08
